Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Can Uzun,tr TUR,"MF,FW",Nürnberg,17,2005,30,25,"1,992",22.1,16,2,18,13,3,5,5,0,10.4,6.5,2.5,9.0,59,93,71,0.72,0.09,0.81,0.59,0.68,0.47,0.11,0.58,0.29,0.41
Enrico Valentini,it ITA,DF,Nürnberg,34,1989,17,10,825,9.2,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.7,11,49,8,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
Ignace Van Der Brempt,be BEL,DF,Hamburger SV,21,2002,23,22,"1,774",19.7,0,3,3,0,0,0,3,0,0.4,0.4,2.8,3.1,66,101,99,0.00,0.15,0.15,0.00,0.15,0.02,0.14,0.16,0.02,0.16
Hugo Vandermersch,fr FRA,DF,Elversberg,24,1999,26,26,"2,277",25.3,2,2,4,2,0,0,5,0,1.8,1.8,1.5,3.3,71,99,142,0.08,0.08,0.16,0.08,0.16,0.07,0.06,0.13,0.07,0.13
Sebastian Vasiliadis,gr GRE,"MF,DF",Hansa Rostock,25,1997,20,12,"1,104",12.3,0,0,0,0,0,0,5,0,0.5,0.5,0.4,0.9,9,49,31,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07
Nikola Vasilj,ba BIH,GK,St. Pauli,27,1995,34,34,"3,060",34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
John Verhoek,nl NED,"FW,MF",Osnabrück,34,1989,12,1,261,2.9,0,1,1,0,0,0,3,0,0.3,0.3,0.3,0.5,1,12,15,0.00,0.34,0.34,0.00,0.34,0.09,0.09,0.18,0.09,0.18
Vincent Vermeij,nl NED,FW,Düsseldorf,28,1994,30,22,"1,832",20.4,12,3,15,11,1,1,4,0,8.1,7.3,2.8,10.0,9,37,100,0.59,0.15,0.74,0.54,0.69,0.40,0.14,0.53,0.36,0.49
Andreas Voglsammer,de GER,"FW,MF",Hannover 96,31,1992,27,14,"1,441",16.0,8,2,10,8,0,0,4,0,4.7,4.7,2.9,7.5,19,44,99,0.50,0.12,0.62,0.50,0.62,0.29,0.18,0.47,0.29,0.47
Aleksandar Vukotić,rs SRB,DF,Wehen,28,1995,28,27,"2,334",25.9,2,1,3,2,0,0,11,1,2.2,2.2,1.4,3.6,6,71,5,0.08,0.04,0.12,0.08,0.12,0.08,0.05,0.14,0.08,0.14
Robert Wagner,de GER,MF,Greuther Fürth,20,2003,31,30,"2,545",28.3,4,4,8,4,0,0,5,1,2.4,2.3,1.0,3.3,11,110,26,0.14,0.14,0.28,0.14,0.28,0.08,0.04,0.12,0.08,0.12
Hauke Wahl,de GER,DF,St. Pauli,29,1994,33,32,"2,873",31.9,0,0,0,0,0,0,4,1,1.3,1.3,0.6,1.9,39,144,18,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
Marvin Wanitzek,de GER,"MF,FW",Karlsruher,30,1993,32,32,"2,828",31.4,10,5,15,7,3,4,6,0,10.0,6.8,5.4,12.2,80,164,196,0.32,0.16,0.48,0.22,0.38,0.32,0.17,0.49,0.22,0.39
Paul Wanner,de GER,"MF,FW",Elversberg,17,2005,28,21,"1,689",18.8,6,3,9,6,0,0,2,0,5.7,5.7,1.5,7.2,35,54,117,0.32,0.16,0.48,0.32,0.48,0.30,0.08,0.38,0.30,0.38
Timon Weiner,de GER,GK,Holstein Kiel,24,1999,30,30,"2,700",30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Max Weiß,de GER,GK,Karlsruher,19,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Erik Wekesser,de GER,"MF,FW",Nürnberg,26,1997,17,6,739,8.2,0,2,2,0,0,0,3,0,0.6,0.6,0.4,1.0,11,17,41,0.00,0.24,0.24,0.00,0.24,0.07,0.05,0.12,0.07,0.12
Danilo Wiebe,de GER,"DF,MF",Braunschweig,29,1994,12,7,715,7.9,0,0,0,0,0,0,2,0,0.4,0.4,1.4,1.8,14,32,25,0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.22,0.05,0.22
Niklas Wiemann,de GER,DF,Osnabrück,24,1999,28,20,"1,852",20.6,1,0,1,1,0,0,3,2,0.9,0.9,0.1,0.9,20,51,10,0.05,0.00,0.05,0.05,0.05,0.04,0.00,0.04,0.04,0.04
Jordy de Wijs,nl NED,DF,Düsseldorf,28,1995,28,25,"2,035",22.6,2,2,4,2,0,0,5,0,1.8,1.8,1.2,3.0,31,94,12,0.09,0.09,0.18,0.09,0.18,0.08,0.05,0.13,0.08,0.13
Marten Winkler,de GER,FW,Hertha BSC,20,2002,30,22,"1,548",17.2,5,5,10,5,0,0,7,0,4.0,4.0,1.9,5.9,38,33,117,0.29,0.29,0.58,0.29,0.58,0.23,0.11,0.34,0.23,0.34
Jannes Wulff,de GER,"FW,MF",Osnabrück,23,1999,26,11,"1,022",11.4,0,1,1,0,0,0,3,0,2.3,2.3,1.3,3.6,14,34,56,0.00,0.09,0.09,0.00,0.09,0.20,0.11,0.32,0.20,0.32
Deyovaisio Zeefuik,nl NED,"DF,MF",Hertha BSC,25,1998,18,16,"1,328",14.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,19,47,27,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Aaron Zehnter,de GER,"DF,MF",Paderborn 07,18,2004,15,11,966,10.7,1,4,5,1,0,0,0,0,0.5,0.5,2.4,2.9,38,56,56,0.09,0.37,0.47,0.09,0.47,0.05,0.22,0.27,0.05,0.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron-Robert Zieler,de GER,GK,Hannover 96,34,1989,34,34,"3,060",34.0,0,0,0,0,0,0,4,0,0.0,0.0,0.4,0.4,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
