Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Andrew Wooten,us USA,FW,Preußen Münster,33,1989,11,1,221,2.5,2,1,3,2,0,0,0,0,0.81,0.41,1.22,0.81,1.22
Marius Wörl,de GER,MF,Arminia,19,2004,30,24,"2,047",22.7,2,0,2,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09
Marco Wörner,de GER,FW,SC Freiburg II,18,2004,23,1,500,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Joscha Wosz,de GER,MF,Verl,21,2002,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Leopold Wurm,de GER,DF,Jahn R'burg,17,2006,1,0,12,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Lamar Yarbrough,de GER,"DF,MF",Ulm,27,1996,21,12,"1,217",13.5,1,1,2,1,0,0,3,0,0.07,0.07,0.15,0.07,0.15
Aygün Yildirim,,"FW,MF",Arminia,28,1995,27,8,872,9.7,2,0,2,2,0,0,6,0,0.21,0.00,0.21,0.21,0.21
Berkay Yılmaz,tr TUR,"DF,MF",SC Freiburg II,18,2005,13,5,555,6.2,1,4,5,1,0,0,1,1,0.16,0.65,0.81,0.16,0.81
Isaiah Young,us USA,MF,Rot-Weiss Essen,25,1998,37,31,"2,686",29.8,5,1,6,5,0,0,2,0,0.17,0.03,0.20,0.17,0.20
Luca-Milan Zander,de GER,"DF,MF",Sandhausen,27,1995,24,18,"1,535",17.1,1,5,6,1,0,0,4,0,0.06,0.29,0.35,0.06,0.35
Emil Zeil,de GER,MF,Dresden,17,2005,2,0,15,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Abu-Bekir El-Zein,de GER,"MF,FW",Sandhausen,20,2003,30,14,"1,296",14.4,3,2,5,3,0,1,3,0,0.21,0.14,0.35,0.21,0.35
Deniz Zeitler,de GER,FW,Ingolstadt 04,16,2006,3,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
